Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1003	2699,00	1040,00	1270,12	-77,65	18,00	8,47	
1004	1372,00	1044,00	645,65	-79,53	10,00	4,71	
1005	864,00	1042,00	406,59	-78,59	44,00	20,71	
1006	1172,00	1043,00	551,53	-79,06	7,00	3,29	
1007	2002,00	1043,00	942,12	-79,06	5,00	2,35	
1008	2280,00	1044,00	1072,94	-79,53	7,00	3,29	
1009	1324,00	1044,00	623,06	-79,53	8,00	3,76	
1010	1735,00	1044,00	816,47	-79,53	6,00	2,82	
1011	2218,00	1044,00	1043,76	-79,53	7,00	3,29	
1012	2165,00	1045,00	1018,82	-80,00	5,00	2,35	
1013	2639,00	1045,00	1241,88	-80,00	5,00	2,35	
1014	1627,00	1048,00	765,65	-81,41	5,00	2,35	
1015	2685,00	1048,00	1263,53	-81,41	23,00	10,82	
1016	870,00	1050,00	409,41	-82,35	45,00	21,18	
1017	1086,00	1048,00	511,06	-81,41	5,00	2,35	
1018	1916,00	1049,00	901,65	-81,88	9,00	4,24	
1019	1016,00	1051,00	478,12	-82,82	36,00	16,94	
1020	1082,00	1050,00	509,18	-82,35	5,00	2,35	
1021	1644,00	1050,00	773,65	-82,35	5,00	2,35	
1022	1729,00	1052,00	813,65	-83,29	8,00	3,76	
1023	2605,00	1051,00	1225,88	-82,82	7,00	3,29	
1024	1335,00	1052,00	628,24	-83,29	7,00	3,29	
1025	1285,00	1053,00	604,71	-83,76	8,00	3,76	
1026	1517,00	1053,00	713,88	-83,76	11,00	5,18	
1027	2214,00	1054,00	1041,88	-84,24	10,00	4,71	
1028	2250,00	1055,00	1058,82	-84,71	8,00	3,76	
1029	2780,00	1055,00	1308,24	-84,71	5,00	2,35	
1030	2588,00	1057,00	1217,88	-85,65	5,00	2,35	
1031	1280,00	1060,00	602,35	-87,06	10,00	4,71	
1032	1989,00	1060,00	936,00	-87,06	5,00	2,35	
1033	2067,00	1061,00	972,71	-87,53	5,00	2,35	
1034	1209,00	1062,00	568,94	-88,00	11,00	5,18	
1035	1345,00	1064,00	632,94	-88,94	6,00	2,82	
1036	1210,00	1066,00	569,41	-89,88	11,00	5,18	
1037	1078,00	1065,00	507,29	-89,41	5,00	2,35	
1038	1916,00	1065,00	901,65	-89,41	11,00	5,18	
1039	2059,00	1065,00	968,94	-89,41	5,00	2,35	
1040	2716,00	1066,00	1278,12	-89,88	9,00	4,24	
1041	1077,00	1068,00	506,82	-90,82	5,00	2,35	
1042	2077,00	1070,00	977,41	-91,76	5,00	2,35	
1043	1826,00	1069,00	859,29	-91,29	11,00	5,18	
1044	1138,00	1073,00	535,53	-93,18	8,00	3,76	
1045	2054,00	1071,00	966,59	-92,24	5,00	2,35	
1046	2088,00	1072,00	982,59	-92,71	5,00	2,35	
1047	2731,00	1073,00	1285,18	-93,18	11,00	5,18	
1048	1726,00	1076,00	812,24	-94,59	6,00	2,82	
1049	947,00	1076,00	445,65	-94,59	10,00	4,71	
1050	2142,00	1075,00	1008,00	-94,12	5,00	2,35	
1051	2140,00	1076,00	1007,06	-94,59	5,00	2,35	
1052	1268,00	1080,00	596,71	-96,47	19,00	8,94	
1053	1514,00	1087,00	712,47	-99,76	7,00	3,29	
1054	1347,00	1088,00	633,88	-100,24	9,00	4,24	
1055	1710,00	1083,00	804,71	-97,88	5,00	2,35	
1056	2658,00	1084,00	1250,82	-98,35	5,00	2,35	
1057	2128,00	1086,00	1001,41	-99,29	5,00	2,35	
1058	1909,00	1087,00	898,35	-99,76	10,00	4,71	
1059	1957,00	1088,00	920,94	-100,24	6,00	2,82	
1060	2615,00	1090,00	1230,59	-101,18	17,00	8,00	
1061	2581,00	1090,00	1214,59	-101,18	15,00	7,06	
1062	1674,00	1090,00	787,76	-101,18	5,00	2,35	
1063	1680,00	1090,00	790,59	-101,18	5,00	2,35	
1064	1240,00	1092,00	583,53	-102,12	9,00	4,24	
1065	1256,00	1094,00	591,06	-103,06	13,00	6,12	
1066	1989,00	1094,00	936,00	-103,06	8,00	3,76	
1067	1997,00	1097,00	939,76	-104,47	7,00	3,29	
1068	1164,00	1099,00	547,76	-105,41	17,00	8,00	
1069	1290,00	1099,00	607,06	-105,41	9,00	4,24	
1070	1839,00	1099,00	865,41	-105,41	12,00	5,65	
1071	2033,00	1102,00	956,71	-106,82	5,00	2,35	
1072	1715,00	1100,00	807,06	-105,88	5,00	2,35	
1073	2735,00	1100,00	1287,06	-105,88	5,00	2,35	
1074	1709,00	1102,00	804,24	-106,82	5,00	2,35	
1075	2726,00	1103,00	1282,82	-107,29	5,00	2,35	
1076	1205,00	1103,00	567,06	-107,29	6,00	2,82	
1077	1904,00	1103,00	896,00	-107,29	8,00	3,76	
1078	1190,00	1104,00	560,00	-107,76	6,00	2,82	
1079	1351,00	1104,00	635,76	-107,76	10,00	4,71	
1080	1579,00	1105,00	743,06	-108,24	5,00	2,35	
1081	1703,00	1104,00	801,41	-107,76	5,00	2,35	
1082	2052,00	1108,00	965,65	-109,65	5,00	2,35	
1083	1948,00	1105,00	916,71	-108,24	8,00	3,76	
1084	1519,00	1109,00	714,82	-110,12	6,00	2,82	
1085	2031,00	1109,00	955,76	-110,12	5,00	2,35	
1086	1562,00	1110,00	735,06	-110,59	5,00	2,35	
1087	1658,00	1110,00	780,24	-110,59	7,00	3,29	
1088	2139,00	1110,00	1006,59	-110,59	6,00	2,82	
1089	1521,00	1112,00	715,76	-111,53	6,00	2,82	
1090	1095,00	1113,00	515,29	-112,00	5,00	2,35	
1091	2711,00	1114,00	1275,76	-112,47	5,00	2,35	
1092	1522,00	1114,00	716,24	-112,47	6,00	2,82	
1093	1571,00	1114,00	739,29	-112,47	7,00	3,29	
1094	1039,00	1125,00	488,94	-117,65	27,00	12,71	
1095	1428,00	1116,00	672,00	-113,41	5,00	2,35	
1096	1214,00	1123,00	571,29	-116,71	7,00	3,29	
1097	1441,00	1120,00	678,12	-115,29	5,00	2,35	
1098	1881,00	1120,00	885,18	-115,29	5,00	2,35	
1099	1127,00	1122,00	530,35	-116,24	5,00	2,35	
1100	2529,00	1121,00	1190,12	-115,76	6,00	2,82	
1101	1266,00	1123,00	595,76	-116,71	8,00	3,76	
1102	1485,00	1124,00	698,82	-117,18	6,00	2,82	
1103	1647,00	1123,00	775,06	-116,71	5,00	2,35	
1104	2221,00	1123,00	1045,18	-116,71	12,00	5,65	
1105	1526,00	1124,00	718,12	-117,18	6,00	2,82	
1106	2037,00	1125,00	958,59	-117,65	5,00	2,35	
1107	1558,00	1128,00	733,18	-119,06	6,00	2,82	
1108	2241,00	1129,00	1054,59	-119,53	14,00	6,59	
1109	2020,00	1130,00	950,59	-120,00	5,00	2,35	
