Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
195	2146,00	642,00	1009,88	109,65	6,00	2,82	
196	2599,00	644,00	1223,06	108,71	6,00	2,82	
197	1638,00	647,00	770,82	107,29	12,00	5,65	
198	2161,00	647,00	1016,94	107,29	5,00	2,35	
199	2222,00	648,00	1045,65	106,82	15,00	7,06	
200	1980,00	650,00	931,76	105,88	9,00	4,24	
201	2151,00	649,00	1012,24	106,35	7,00	3,29	
202	1994,00	651,00	938,35	105,41	5,00	2,35	
203	2014,00	652,00	947,76	104,94	5,00	2,35	
204	1479,00	655,00	696,00	103,53	13,00	6,12	
205	1674,00	655,00	787,76	103,53	5,00	2,35	
206	1715,00	655,00	807,06	103,53	5,00	2,35	
207	1848,00	656,00	869,65	103,06	8,00	3,76	
208	2391,00	657,00	1125,18	102,59	20,00	9,41	
209	2560,00	655,00	1204,71	103,53	5,00	2,35	
210	1416,00	659,00	666,35	101,65	31,00	14,59	
211	1964,00	658,00	924,24	102,12	5,00	2,35	
212	2457,00	658,00	1156,24	102,12	22,00	10,35	
213	2559,00	658,00	1204,24	102,12	5,00	2,35	
214	2586,00	658,00	1216,94	102,12	5,00	2,35	
215	2173,00	659,00	1022,59	101,65	5,00	2,35	
216	2193,00	661,00	1032,00	100,71	7,00	3,29	
217	1620,00	662,00	762,35	100,24	5,00	2,35	
218	2108,00	662,00	992,00	100,24	5,00	2,35	
219	2184,00	662,00	1027,76	100,24	7,00	3,29	
220	2257,00	663,00	1062,12	99,76	5,00	2,35	
221	2551,00	664,00	1200,47	99,29	6,00	2,82	
222	2443,00	663,00	1149,65	99,76	22,00	10,35	
223	1487,00	665,00	699,76	98,82	10,00	4,71	
224	1937,00	666,00	911,53	98,35	10,00	4,71	
225	1997,00	666,00	939,76	98,35	6,00	2,82	
226	2327,00	666,00	1095,06	98,35	15,00	7,06	
227	2574,00	668,00	1211,29	97,41	8,00	3,76	
228	1745,00	669,00	821,18	96,94	5,00	2,35	
229	2345,00	669,00	1103,53	96,94	5,00	2,35	
230	2536,00	672,00	1193,41	95,53	6,00	2,82	
231	1698,00	673,00	799,06	95,06	5,00	2,35	
232	2397,00	673,00	1128,00	95,06	20,00	9,41	
233	1492,00	676,00	702,12	93,65	11,00	5,18	
234	2232,00	676,00	1050,35	93,65	5,00	2,35	
235	2510,00	675,00	1181,18	94,12	11,00	5,18	
236	1453,00	677,00	683,76	93,18	5,00	2,35	
237	1466,00	678,00	689,88	92,71	5,00	2,35	
238	1741,00	683,00	819,29	90,35	5,00	2,35	
239	1788,00	685,00	841,41	89,41	29,00	13,65	
240	1374,00	685,00	646,59	89,41	8,00	3,76	
241	2089,00	685,00	983,06	89,41	16,00	7,53	
242	2186,00	685,00	1028,71	89,41	11,00	5,18	
243	2113,00	687,00	994,35	88,47	16,00	7,53	
244	1721,00	691,00	809,88	86,59	6,00	2,82	
245	1661,00	691,00	781,65	86,59	5,00	2,35	
246	1707,00	693,00	803,29	85,65	5,00	2,35	
247	1968,00	689,00	926,12	87,53	6,00	2,82	
248	2223,00	689,00	1046,12	87,53	6,00	2,82	
249	1983,00	690,00	933,18	87,06	8,00	3,76	
250	2077,00	690,00	977,41	87,06	19,00	8,94	
251	2419,00	691,00	1138,35	86,59	29,00	13,65	
252	1383,00	692,00	650,82	86,12	7,00	3,29	
253	1648,00	693,00	775,53	85,65	6,00	2,82	
254	1839,00	695,00	865,41	84,71	7,00	3,29	
255	2031,00	696,00	955,76	84,24	7,00	3,29	
256	2572,00	695,00	1210,35	84,71	7,00	3,29	
257	2513,00	696,00	1182,59	84,24	11,00	5,18	
258	1481,00	699,00	696,94	82,82	6,00	2,82	
259	2533,00	699,00	1192,00	82,82	7,00	3,29	
260	1596,00	700,00	751,06	82,35	9,00	4,24	
261	2559,00	703,00	1204,24	80,94	8,00	3,76	
262	1554,00	702,00	731,29	81,41	7,00	3,29	
263	1874,00	704,00	881,88	80,47	23,00	10,82	
264	2147,00	703,00	1010,35	80,94	6,00	2,82	
265	2026,00	707,00	953,41	79,06	8,00	3,76	
266	1623,00	709,00	763,76	78,12	10,00	4,71	
267	1989,00	708,00	936,00	78,59	5,00	2,35	
268	1459,00	708,00	686,59	78,59	5,00	2,35	
269	1502,00	707,00	706,82	79,06	6,00	2,82	
270	1563,00	709,00	735,53	78,12	6,00	2,82	
271	1700,00	709,00	800,00	78,12	10,00	4,71	
272	1530,00	709,00	720,00	78,12	12,00	5,65	
273	2077,00	711,00	977,41	77,18	16,00	7,53	
274	2301,00	710,00	1082,82	77,65	5,00	2,35	
275	2582,00	710,00	1215,06	77,65	10,00	4,71	
276	2326,00	713,00	1094,59	76,24	8,00	3,76	
277	1748,00	715,00	822,59	75,29	5,00	2,35	
278	1720,00	716,00	809,41	74,82	9,00	4,24	
279	1585,00	720,00	745,88	72,94	5,00	2,35	
280	2023,00	721,00	952,00	72,47	7,00	3,29	
281	2111,00	717,00	993,41	74,35	5,00	2,35	
282	2508,00	718,00	1180,24	73,88	16,00	7,53	
283	1362,00	718,00	640,94	73,88	5,00	2,35	
284	1624,00	721,00	764,24	72,47	10,00	4,71	
285	2305,00	719,00	1084,71	73,41	7,00	3,29	
286	1360,00	721,00	640,00	72,47	5,00	2,35	
287	2330,00	721,00	1096,47	72,47	9,00	4,24	
288	1460,00	724,00	687,06	71,06	5,00	2,35	
289	1473,00	723,00	693,18	71,53	5,00	2,35	
290	2603,00	725,00	1224,94	70,59	7,00	3,29	
291	1557,00	725,00	732,71	70,59	6,00	2,82	
292	2536,00	724,00	1193,41	71,06	5,00	2,35	
293	2329,00	726,00	1096,00	70,12	9,00	4,24	
294	1694,00	727,00	797,18	69,65	13,00	6,12	
295	2049,00	728,00	964,24	69,18	7,00	3,29	
296	2418,00	734,00	1137,88	66,35	12,00	5,65	
297	2000,00	731,00	941,18	67,76	9,00	4,24	
298	1379,00	735,00	648,94	65,88	11,00	5,18	
299	2523,00	734,00	1187,29	66,35	6,00	2,82	
300	1528,00	737,00	719,06	64,94	6,00	2,82	
301	2182,00	736,00	1026,82	65,41	11,00	5,18	
302	2632,00	736,00	1238,59	65,41	16,00	7,53	
303	1426,00	738,00	671,06	64,47	7,00	3,29	
304	1948,00	738,00	916,71	64,47	30,00	14,12	
305	2404,00	738,00	1131,29	64,47	8,00	3,76	
306	2092,00	739,00	984,47	64,00	6,00	2,82	
307	1577,00	744,00	742,12	61,65	8,00	3,76	
308	2129,00	746,00	1001,88	60,71	7,00	3,29	
309	2656,00	744,00	1249,88	61,65	10,00	4,71	
310	2386,00	746,00	1122,82	60,71	10,00	4,71	
311	2595,00	745,00	1221,18	61,18	5,00	2,35	
312	1578,00	747,00	742,59	60,24	8,00	3,76	
313	2580,00	747,00	1214,12	60,24	7,00	3,29	
314	2647,00	747,00	1245,65	60,24	9,00	4,24	
315	1347,00	750,00	633,88	58,82	12,00	5,65	
316	1909,00	748,00	898,35	59,76	9,00	4,24	
317	2005,00	750,00	943,53	58,82	8,00	3,76	
318	2029,00	750,00	954,82	58,82	8,00	3,76	
319	2479,00	751,00	1166,59	58,35	6,00	2,82	
320	1695,00	752,00	797,65	57,88	5,00	2,35	
321	2532,00	755,00	1191,53	56,47	10,00	4,71	
322	1374,00	755,00	646,59	56,47	7,00	3,29	
323	1576,00	754,00	741,65	56,94	8,00	3,76	
324	2583,00	755,00	1215,53	56,47	6,00	2,82	
325	1537,00	755,00	723,29	56,47	5,00	2,35	
326	2668,00	756,00	1255,53	56,00	6,00	2,82	
327	2344,00	756,00	1103,06	56,00	9,00	4,24	
328	1658,00	757,00	780,24	55,53	10,00	4,71	
329	2513,00	758,00	1182,59	55,06	5,00	2,35	
330	1508,00	759,00	709,65	54,59	7,00	3,29	
331	1758,00	761,00	827,29	53,65	26,00	12,24	
332	2076,00	761,00	976,94	53,65	15,00	7,06	
333	2113,00	760,00	994,35	54,12	5,00	2,35	
334	2385,00	762,00	1122,35	53,18	12,00	5,65	
335	1340,00	764,00	630,59	52,24	11,00	5,18	
336	2425,00	765,00	1141,18	51,76	5,00	2,35	
337	2529,00	767,00	1190,12	50,82	9,00	4,24	
338	2621,00	765,00	1233,41	51,76	5,00	2,35	
339	2130,00	769,00	1002,35	49,88	5,00	2,35	
340	2561,00	768,00	1205,18	50,35	5,00	2,35	
341	2548,00	770,00	1199,06	49,41	5,00	2,35	
342	2639,00	772,00	1241,88	48,47	8,00	3,76	
343	2063,00	773,00	970,82	48,00	12,00	5,65	
344	2605,00	772,00	1225,88	48,47	5,00	2,35	
345	2091,00	775,00	984,00	47,06	11,00	5,18	
346	1365,00	776,00	642,35	46,59	5,00	2,35	
347	1693,00	776,00	796,71	46,59	12,00	5,65	
348	1896,00	778,00	892,24	45,65	5,00	2,35	
349	1558,00	781,00	733,18	44,24	10,00	4,71	
350	1671,00	781,00	786,35	44,24	7,00	3,29	
351	1886,00	782,00	887,53	43,76	5,00	2,35	
352	1639,00	783,00	771,29	43,29	12,00	5,65	
353	1659,00	783,00	780,71	43,29	8,00	3,76	
354	1690,00	788,00	795,29	40,94	13,00	6,12	
355	1624,00	788,00	764,24	40,94	16,00	7,53	
356	2577,00	788,00	1212,71	40,94	9,00	4,24	
357	1576,00	790,00	741,65	40,00	10,00	4,71	
358	2497,00	790,00	1175,06	40,00	6,00	2,82	
359	1900,00	793,00	894,12	38,59	7,00	3,29	
360	2605,00	794,00	1225,88	38,12	5,00	2,35	
361	1934,00	799,00	910,12	35,76	17,00	8,00	
362	1871,00	802,00	880,47	34,35	12,00	5,65	
363	1969,00	803,00	926,59	33,88	6,00	2,82	
364	2046,00	803,00	962,82	33,88	7,00	3,29	
365	2659,00	804,00	1251,29	33,41	7,00	3,29	
366	1593,00	804,00	749,65	33,41	5,00	2,35	
367	1620,00	807,00	762,35	32,00	16,00	7,53	
368	1774,00	808,00	834,82	31,53	12,00	5,65	
369	2704,00	806,00	1272,47	32,47	7,00	3,29	
370	1705,00	808,00	802,35	31,53	9,00	4,24	
371	2582,00	808,00	1215,06	31,53	5,00	2,35	
372	1345,00	809,00	632,94	31,06	5,00	2,35	
373	1909,00	812,00	898,35	29,65	8,00	3,76	
374	2672,00	815,00	1257,41	28,24	14,00	6,59	
375	2713,00	814,00	1276,71	28,71	6,00	2,82	
376	1952,00	816,00	918,59	27,76	11,00	5,18	
377	2044,00	819,00	961,88	26,35	5,00	2,35	
378	1701,00	821,00	800,47	25,41	6,00	2,82	
379	2012,00	820,00	946,82	25,88	7,00	3,29	
380	1349,00	822,00	634,82	24,94	5,00	2,35	
381	1722,00	826,00	810,35	23,06	5,00	2,35	
382	1856,00	829,00	873,41	21,65	9,00	4,24	
383	1916,00	827,00	901,65	22,59	5,00	2,35	
384	1743,00	831,00	820,24	20,71	5,00	2,35	
385	2020,00	829,00	950,59	21,65	6,00	2,82	
386	1634,00	830,00	768,94	21,18	26,00	12,24	
387	1351,00	831,00	635,76	20,71	6,00	2,82	
388	1876,00	831,00	882,82	20,71	7,00	3,29	
389	1933,00	833,00	909,65	19,76	6,00	2,82	
390	2720,00	833,00	1280,00	19,76	9,00	4,24	
391	1583,00	838,00	744,94	17,41	8,00	3,76	
392	1781,00	838,00	838,12	17,41	7,00	3,29	
393	1973,00	838,00	928,47	17,41	5,00	2,35	
394	1750,00	841,00	823,53	16,00	5,00	2,35	
395	1839,00	840,00	865,41	16,47	6,00	2,82	
396	2613,00	840,00	1229,65	16,47	25,00	11,76	
397	2724,00	845,00	1281,88	14,12	6,00	2,82	
398	2009,00	842,00	945,41	15,53	6,00	2,82	
399	1578,00	843,00	742,59	15,06	8,00	3,76	
400	1996,00	846,00	939,29	13,65	6,00	2,82	
401	1893,00	846,00	890,82	13,65	14,00	6,59	
402	1719,00	849,00	808,94	12,24	12,00	5,65	
403	1717,00	850,00	808,00	11,76	12,00	5,65	
404	2054,00	850,00	966,59	11,76	16,00	7,53	
405	1713,00	852,00	806,12	10,82	12,00	5,65	
406	1678,00	854,00	789,65	9,88	6,00	2,82	
407	1673,00	856,00	787,29	8,94	7,00	3,29	
408	1942,00	860,00	913,88	7,06	9,00	4,24	
409	2592,00	860,00	1219,76	7,06	29,00	13,65	
410	1294,00	862,00	608,94	6,12	6,00	2,82	
411	2047,00	862,00	963,29	6,12	14,00	6,59	
412	1823,00	864,00	857,88	5,18	8,00	3,76	
413	2712,00	864,00	1276,24	5,18	10,00	4,71	
414	1328,00	865,00	624,94	4,71	5,00	2,35	
415	2040,00	867,00	960,00	3,76	14,00	6,59	
416	1277,00	869,00	600,94	2,82	6,00	2,82	
417	1268,00	870,00	596,71	2,35	5,00	2,35	
418	1835,00	870,00	863,53	2,35	5,00	2,35	
419	1999,00	871,00	940,71	1,88	7,00	3,29	
420	1318,00	872,00	620,24	1,41	9,00	4,24	
421	2714,00	871,00	1277,18	1,88	11,00	5,18	
422	1876,00	876,00	882,82	-0,47	21,00	9,88	
423	2575,00	874,00	1211,76	0,47	25,00	11,76	
424	1314,00	879,00	618,35	-1,88	9,00	4,24	
425	2673,00	881,00	1257,88	-2,82	6,00	2,82	
426	1641,00	883,00	772,24	-3,76	5,00	2,35	
427	2653,00	883,00	1248,47	-3,76	7,00	3,29	
428	1935,00	885,00	910,59	-4,71	13,00	6,12	
429	2027,00	887,00	953,88	-5,65	17,00	8,00	
430	2617,00	887,00	1231,53	-5,65	5,00	2,35	
431	2411,00	891,00	1134,59	-7,53	5,00	2,35	
432	1928,00	900,00	907,29	-11,76	11,00	5,18	
433	1649,00	902,00	776,00	-12,71	7,00	3,29	
434	2660,00	902,00	1251,76	-12,71	6,00	2,82	
435	1947,00	903,00	916,24	-13,18	5,00	2,35	
436	1624,00	905,00	764,24	-14,12	7,00	3,29	
437	1776,00	905,00	835,76	-14,12	38,00	17,88	
438	1553,00	907,00	730,82	-15,06	5,00	2,35	
439	1551,00	908,00	729,88	-15,53	5,00	2,35	
440	2055,00	908,00	967,06	-15,53	5,00	2,35	
441	1699,00	910,00	799,53	-16,47	24,00	11,29	
442	2647,00	911,00	1245,65	-16,94	6,00	2,82	
443	1742,00	911,00	819,76	-16,94	28,00	13,18	
444	2683,00	911,00	1262,59	-16,94	5,00	2,35	
445	1740,00	912,00	818,82	-17,41	28,00	13,18	
446	1733,00	914,00	815,53	-18,35	28,00	13,18	
447	2288,00	913,00	1076,71	-17,88	8,00	3,76	
448	1543,00	916,00	726,12	-19,29	7,00	3,29	
449	2191,00	916,00	1031,06	-19,29	5,00	2,35	
450	1880,00	921,00	884,71	-21,65	6,00	2,82	
451	1917,00	921,00	902,12	-21,65	10,00	4,71	
452	1627,00	921,00	765,65	-21,65	5,00	2,35	
453	2623,00	922,00	1234,35	-22,12	6,00	2,82	
454	1598,00	924,00	752,00	-23,06	5,00	2,35	
455	2239,00	925,00	1053,65	-23,53	7,00	3,29	
456	1977,00	925,00	930,35	-23,53	14,00	6,59	
457	2318,00	925,00	1090,82	-23,53	8,00	3,76	
458	2622,00	926,00	1233,88	-24,00	6,00	2,82	
459	2706,00	927,00	1273,41	-24,47	9,00	4,24	
460	1898,00	927,00	893,18	-24,47	6,00	2,82	
461	2314,00	928,00	1088,94	-24,94	8,00	3,76	
462	2594,00	928,00	1220,71	-24,94	8,00	3,76	
463	1280,00	929,00	602,35	-25,41	32,00	15,06	
464	1969,00	928,00	926,59	-24,94	14,00	6,59	
465	2417,00	928,00	1137,41	-24,94	11,00	5,18	
466	1864,00	929,00	877,18	-25,41	5,00	2,35	
467	1986,00	929,00	934,59	-25,41	12,00	5,65	
468	1653,00	932,00	777,88	-26,82	5,00	2,35	
469	1988,00	930,00	935,53	-25,88	12,00	5,65	
470	1530,00	933,00	720,00	-27,29	5,00	2,35	
