Создан как новый массив данных;Образец 009 полученный BalashovM Дата среда, апреля 28 2021
cm-1;A
3265,00;0,0256
3264,00;0,0256
3263,00;0,0256
3262,00;0,0256
3261,00;0,0257
3260,00;0,0257
3259,00;0,0257
3258,00;0,0257
3257,00;0,0257
3256,00;0,0257
3255,00;0,0257
3254,00;0,0257
3253,00;0,0257
3252,00;0,0257
3251,00;0,0257
3250,00;0,0257
3249,00;0,0257
3248,00;0,0257
3247,00;0,0257
3246,00;0,0257
3245,00;0,0257
3244,00;0,0257
3243,00;0,0257
3242,00;0,0257
3241,00;0,0257
3240,00;0,0257
3239,00;0,0257
3238,00;0,0257
3237,00;0,0257
3236,00;0,0257
3235,00;0,0257
3234,00;0,0257
3233,00;0,0257
3232,00;0,0257
3231,00;0,0257
3230,00;0,0257
3229,00;0,0257
3228,00;0,0257
3227,00;0,0257
3226,00;0,0257
3225,00;0,0257
3224,00;0,0257
3223,00;0,0257
3222,00;0,0257
3221,00;0,0257
3220,00;0,0257
3219,00;0,0257
3218,00;0,0257
3217,00;0,0257
3216,00;0,0257
3215,00;0,0258
3214,00;0,0258
3213,00;0,0258
3212,00;0,0257
3211,00;0,0257
3210,00;0,0257
3209,00;0,0257
3208,00;0,0257
3207,00;0,0257
3206,00;0,0257
3205,00;0,0257
3204,00;0,0257
3203,00;0,0257
3202,00;0,0257
3201,00;0,0257
3200,00;0,0257
3199,00;0,0257
3198,00;0,0257
3197,00;0,0257
3196,00;0,0257
3195,00;0,0257
3194,00;0,0257
3193,00;0,0257
3192,00;0,0257
3191,00;0,0257
3190,00;0,0257
3189,00;0,0257
3188,00;0,0257
3187,00;0,0257
3186,00;0,0257
3185,00;0,0257
3184,00;0,0257
3183,00;0,0257
3182,00;0,0257
3181,00;0,0257
3180,00;0,0257
3179,00;0,0258
3178,00;0,0258
3177,00;0,0258
3176,00;0,0257
3175,00;0,0257
3174,00;0,0257
3173,00;0,0257
3172,00;0,0257
3171,00;0,0257
3170,00;0,0257
3169,00;0,0257
3168,00;0,0257
3167,00;0,0257
3166,00;0,0257
3165,00;0,0257
3164,00;0,0257
3163,00;0,0257
3162,00;0,0257
3161,00;0,0257
3160,00;0,0257
3159,00;0,0257
3158,00;0,0257
3157,00;0,0257
3156,00;0,0257
3155,00;0,0257
3154,00;0,0257
3153,00;0,0257
3152,00;0,0257
3151,00;0,0257
3150,00;0,0257
3149,00;0,0257
3148,00;0,0257
3147,00;0,0257
3146,00;0,0257
3145,00;0,0257
3144,00;0,0257
3143,00;0,0257
3142,00;0,0257
3141,00;0,0257
3140,00;0,0257
3139,00;0,0257
3138,00;0,0257
3137,00;0,0257
3136,00;0,0257
3135,00;0,0257
3134,00;0,0257
3133,00;0,0257
3132,00;0,0257
3131,00;0,0257
3130,00;0,0257
3129,00;0,0257
3128,00;0,0257
3127,00;0,0257
3126,00;0,0257
3125,00;0,0257
3124,00;0,0256
3123,00;0,0256
3122,00;0,0256
3121,00;0,0256
3120,00;0,0256
3119,00;0,0256
3118,00;0,0256
3117,00;0,0256
3116,00;0,0256
3115,00;0,0256
3114,00;0,0256
3113,00;0,0256
3112,00;0,0256
3111,00;0,0256
3110,00;0,0256
3109,00;0,0256
3108,00;0,0256
3107,00;0,0256
3106,00;0,0256
3105,00;0,0256
3104,00;0,0256
3103,00;0,0256
3102,00;0,0256
3101,00;0,0255
3100,00;0,0255
3099,00;0,0255
3098,00;0,0255
3097,00;0,0255
3096,00;0,0255
3095,00;0,0255
3094,00;0,0255
3093,00;0,0255
3092,00;0,0255
3091,00;0,0255
3090,00;0,0255
3089,00;0,0255
3088,00;0,0255
3087,00;0,0255
3086,00;0,0255
3085,00;0,0255
3084,00;0,0255
3083,00;0,0254
3082,00;0,0254
3081,00;0,0254
3080,00;0,0254
3079,00;0,0254
3078,00;0,0254
3077,00;0,0254
3076,00;0,0254
3075,00;0,0254
3074,00;0,0254
3073,00;0,0254
3072,00;0,0254
3071,00;0,0254
3070,00;0,0254
3069,00;0,0254
3068,00;0,0254
3067,00;0,0254
3066,00;0,0254
3065,00;0,0253
3064,00;0,0253
3063,00;0,0253
3062,00;0,0253
3061,00;0,0253
3060,00;0,0253
3059,00;0,0253
3058,00;0,0253
3057,00;0,0253
3056,00;0,0253
3055,00;0,0253
3054,00;0,0253
3053,00;0,0253
3052,00;0,0253
3051,00;0,0253
3050,00;0,0253
3049,00;0,0253
3048,00;0,0252
3047,00;0,0252
3046,00;0,0252
3045,00;0,0252
3044,00;0,0252
3043,00;0,0252
3042,00;0,0252
3041,00;0,0252
3040,00;0,0252
3039,00;0,0252
3038,00;0,0252
3037,00;0,0252
3036,00;0,0252
3035,00;0,0252
3034,00;0,0252
3033,00;0,0252
3032,00;0,0252
3031,00;0,0251
3030,00;0,0251
3029,00;0,0251
3028,00;0,0251
3027,00;0,0251
3026,00;0,0251
3025,00;0,0251
3024,00;0,0251
3023,00;0,0251
3022,00;0,0251
3021,00;0,0251
3020,00;0,0251
3019,00;0,0251
3018,00;0,0251
3017,00;0,0251
3016,00;0,0251
3015,00;0,0251
3014,00;0,0251
3013,00;0,0251
3012,00;0,0251
3011,00;0,0251
3010,00;0,0251
3009,00;0,0250
3008,00;0,0250
3007,00;0,0250
3006,00;0,0250
3005,00;0,0250
3004,00;0,0250
3003,00;0,0250
3002,00;0,0250
3001,00;0,0250
3000,00;0,0250
2999,00;0,0250
2998,00;0,0250
2997,00;0,0250
2996,00;0,0250
2995,00;0,0250
2994,00;0,0250
2993,00;0,0250
2992,00;0,0250
2991,00;0,0250
2990,00;0,0250
2989,00;0,0250
2988,00;0,0250
2987,00;0,0250
2986,00;0,0249
2985,00;0,0249
2984,00;0,0249
2983,00;0,0248
2982,00;0,0248
2981,00;0,0248
2980,00;0,0247
2979,00;0,0247
2978,00;0,0247
2977,00;0,0247
2976,00;0,0246
2975,00;0,0246
2974,00;0,0246
2973,00;0,0245
2972,00;0,0245
2971,00;0,0245
2970,00;0,0244
2969,00;0,0244
2968,00;0,0244
2967,00;0,0243
2966,00;0,0243
2965,00;0,0242
2964,00;0,0242
2963,00;0,0241
2962,00;0,0241
2961,00;0,0240
2960,00;0,0240
2959,00;0,0240
2958,00;0,0239
2957,00;0,0239
2956,00;0,0239
2955,00;0,0238
2954,00;0,0238
2953,00;0,0238
2952,00;0,0238
2951,00;0,0238
2950,00;0,0238
2949,00;0,0238
2948,00;0,0238
2947,00;0,0238
2946,00;0,0238
2945,00;0,0238
2944,00;0,0237
2943,00;0,0237
2942,00;0,0236
2941,00;0,0235
2940,00;0,0235
2939,00;0,0234
2938,00;0,0233
2937,00;0,0232
2936,00;0,0231
2935,00;0,0231
2934,00;0,0230
2933,00;0,0229
2932,00;0,0228
2931,00;0,0228
2930,00;0,0227
2929,00;0,0227
