Создан как новый массив данных;Образец 013 полученный BalashovM Дата четверг, апреля 20 2023
cm-1;A
3347,00;0,0080
3346,00;0,0080
3345,00;0,0080
3344,00;0,0080
3343,00;0,0080
3342,00;0,0080
3341,00;0,0080
3340,00;0,0079
3339,00;0,0080
3338,00;0,0080
3337,00;0,0080
3336,00;0,0080
3335,00;0,0080
3334,00;0,0081
3333,00;0,0081
3332,00;0,0081
3331,00;0,0081
3330,00;0,0081
3329,00;0,0081
3328,00;0,0081
3327,00;0,0081
3326,00;0,0081
3325,00;0,0082
3324,00;0,0082
3323,00;0,0083
3322,00;0,0084
3321,00;0,0084
3320,00;0,0084
3319,00;0,0084
3318,00;0,0084
3317,00;0,0084
3316,00;0,0084
3315,00;0,0084
3314,00;0,0083
3313,00;0,0083
3312,00;0,0083
3311,00;0,0083
3310,00;0,0083
3309,00;0,0083
3308,00;0,0083
3307,00;0,0084
3306,00;0,0084
3305,00;0,0085
3304,00;0,0085
3303,00;0,0086
3302,00;0,0086
3301,00;0,0086
3300,00;0,0086
3299,00;0,0085
3298,00;0,0085
3297,00;0,0085
3296,00;0,0085
3295,00;0,0085
3294,00;0,0086
3293,00;0,0086
3292,00;0,0087
3291,00;0,0087
3290,00;0,0087
3289,00;0,0088
3288,00;0,0088
3287,00;0,0088
3286,00;0,0088
3285,00;0,0088
3284,00;0,0088
3283,00;0,0088
3282,00;0,0089
3281,00;0,0089
3280,00;0,0090
3279,00;0,0090
3278,00;0,0089
3277,00;0,0089
3276,00;0,0088
3275,00;0,0088
3274,00;0,0088
3273,00;0,0089
3272,00;0,0089
3271,00;0,0090
3270,00;0,0090
3269,00;0,0090
3268,00;0,0091
3267,00;0,0092
3266,00;0,0092
3265,00;0,0093
3264,00;0,0093
3263,00;0,0093
3262,00;0,0094
3261,00;0,0094
3260,00;0,0094
3259,00;0,0094
3258,00;0,0094
3257,00;0,0093
3256,00;0,0093
3255,00;0,0094
3254,00;0,0094
3253,00;0,0095
3252,00;0,0095
3251,00;0,0095
3250,00;0,0095
3249,00;0,0095
3248,00;0,0095
3247,00;0,0096
3246,00;0,0096
3245,00;0,0097
3244,00;0,0097
3243,00;0,0098
3242,00;0,0099
3241,00;0,0099
3240,00;0,0100
3239,00;0,0100
3238,00;0,0100
3237,00;0,0100
3236,00;0,0099
3235,00;0,0099
3234,00;0,0098
3233,00;0,0099
3232,00;0,0100
3231,00;0,0102
3230,00;0,0103
3229,00;0,0104
3228,00;0,0104
3227,00;0,0104
3226,00;0,0104
3225,00;0,0104
3224,00;0,0104
3223,00;0,0104
3222,00;0,0104
3221,00;0,0105
3220,00;0,0105
3219,00;0,0105
3218,00;0,0106
3217,00;0,0106
3216,00;0,0107
3215,00;0,0107
3214,00;0,0108
3213,00;0,0108
3212,00;0,0109
3211,00;0,0109
3210,00;0,0109
3209,00;0,0109
3208,00;0,0110
3207,00;0,0110
3206,00;0,0111
3205,00;0,0111
3204,00;0,0111
3203,00;0,0111
3202,00;0,0111
3201,00;0,0112
3200,00;0,0112
3199,00;0,0112
3198,00;0,0113
3197,00;0,0113
3196,00;0,0113
3195,00;0,0112
3194,00;0,0112
3193,00;0,0112
3192,00;0,0112
3191,00;0,0113
3190,00;0,0114
3189,00;0,0114
3188,00;0,0115
3187,00;0,0115
3186,00;0,0115
3185,00;0,0115
3184,00;0,0115
3183,00;0,0115
3182,00;0,0115
3181,00;0,0115
3180,00;0,0115
3179,00;0,0115
3178,00;0,0115
3177,00;0,0116
3176,00;0,0116
3175,00;0,0116
3174,00;0,0116
3173,00;0,0116
3172,00;0,0116
3171,00;0,0116
3170,00;0,0116
3169,00;0,0116
3168,00;0,0116
3167,00;0,0115
3166,00;0,0115
3165,00;0,0115
3164,00;0,0116
3163,00;0,0116
3162,00;0,0116
3161,00;0,0115
3160,00;0,0115
3159,00;0,0115
3158,00;0,0115
3157,00;0,0115
3156,00;0,0114
3155,00;0,0114
3154,00;0,0113
3153,00;0,0113
3152,00;0,0113
3151,00;0,0114
3150,00;0,0115
3149,00;0,0116
3148,00;0,0116
3147,00;0,0117
3146,00;0,0117
3145,00;0,0117
3144,00;0,0116
3143,00;0,0116
3142,00;0,0115
3141,00;0,0114
3140,00;0,0114
3139,00;0,0114
3138,00;0,0115
3137,00;0,0116
3136,00;0,0116
3135,00;0,0117
3134,00;0,0117
3133,00;0,0117
3132,00;0,0117
3131,00;0,0117
3130,00;0,0117
3129,00;0,0117
3128,00;0,0118
3127,00;0,0119
3126,00;0,0119
3125,00;0,0119
3124,00;0,0118
3123,00;0,0117
3122,00;0,0116
3121,00;0,0116
3120,00;0,0116
3119,00;0,0116
3118,00;0,0116
3117,00;0,0116
3116,00;0,0117
3115,00;0,0119
3114,00;0,0120
3113,00;0,0121
3112,00;0,0121
3111,00;0,0121
3110,00;0,0121
3109,00;0,0121
3108,00;0,0121
3107,00;0,0122
3106,00;0,0123
3105,00;0,0124
3104,00;0,0124
3103,00;0,0125
3102,00;0,0125
3101,00;0,0125
3100,00;0,0125
3099,00;0,0125
3098,00;0,0126
3097,00;0,0126
3096,00;0,0126
3095,00;0,0126
3094,00;0,0126
3093,00;0,0126
3092,00;0,0126
3091,00;0,0126
3090,00;0,0126
3089,00;0,0126
3088,00;0,0126
3087,00;0,0126
3086,00;0,0126
3085,00;0,0126
3084,00;0,0126
3083,00;0,0126
3082,00;0,0126
3081,00;0,0126
3080,00;0,0126
3079,00;0,0126
3078,00;0,0127
3077,00;0,0129
3076,00;0,0131
3075,00;0,0132
3074,00;0,0133
3073,00;0,0134
3072,00;0,0134
3071,00;0,0134
3070,00;0,0133
3069,00;0,0133
3068,00;0,0133
3067,00;0,0133
3066,00;0,0134
3065,00;0,0136
3064,00;0,0137
3063,00;0,0137
3062,00;0,0138
3061,00;0,0138
3060,00;0,0138
3059,00;0,0138
3058,00;0,0138
3057,00;0,0138
3056,00;0,0138
3055,00;0,0138
3054,00;0,0138
3053,00;0,0138
3052,00;0,0138
3051,00;0,0139
3050,00;0,0140
3049,00;0,0141
3048,00;0,0141
3047,00;0,0142
3046,00;0,0141
3045,00;0,0141
3044,00;0,0141
3043,00;0,0142
3042,00;0,0143
3041,00;0,0144
3040,00;0,0146
3039,00;0,0148
3038,00;0,0149
3037,00;0,0149
3036,00;0,0150
3035,00;0,0151
3034,00;0,0152
3033,00;0,0154
3032,00;0,0156
3031,00;0,0158
3030,00;0,0160
3029,00;0,0163
3028,00;0,0165
3027,00;0,0166
3026,00;0,0169
3025,00;0,0171
3024,00;0,0175
3023,00;0,0179
3022,00;0,0183
3021,00;0,0187
3020,00;0,0192
3019,00;0,0198
3018,00;0,0204
3017,00;0,0211
3016,00;0,0219
3015,00;0,0228
3014,00;0,0237
3013,00;0,0247
3012,00;0,0256
3011,00;0,0265
3010,00;0,0273
3009,00;0,0280
3008,00;0,0286
3007,00;0,0289
3006,00;0,0291
3005,00;0,0292
3004,00;0,0290
3003,00;0,0287
3002,00;0,0282
3001,00;0,0275
3000,00;0,0268
2999,00;0,0260
2998,00;0,0252
2997,00;0,0245
2996,00;0,0238
2995,00;0,0233
2994,00;0,0229
2993,00;0,0226
2992,00;0,0224
2991,00;0,0223
2990,00;0,0223
2989,00;0,0224
2988,00;0,0226
2987,00;0,0229
2986,00;0,0232
2985,00;0,0237
2984,00;0,0242
2983,00;0,0247
2982,00;0,0254
2981,00;0,0262
2980,00;0,0270
2979,00;0,0280
2978,00;0,0290
2977,00;0,0302
2976,00;0,0315
2975,00;0,0329
2974,00;0,0345
2973,00;0,0363
2972,00;0,0383
2971,00;0,0405
2970,00;0,0428
2969,00;0,0454
2968,00;0,0481
2967,00;0,0509
2966,00;0,0539
2965,00;0,0570
2964,00;0,0601
2963,00;0,0631
2962,00;0,0660
2961,00;0,0687
2960,00;0,0711
2959,00;0,0733
2958,00;0,0752
2957,00;0,0767
2956,00;0,0779
2955,00;0,0787
2954,00;0,0792
2953,00;0,0794
2952,00;0,0794
2951,00;0,0795
2950,00;0,0798
2949,00;0,0805
2948,00;0,0816
2947,00;0,0833
2946,00;0,0856
2945,00;0,0885
2944,00;0,0919
2943,00;0,0959
2942,00;0,1005
2941,00;0,1056
2940,00;0,1112
2939,00;0,1173
2938,00;0,1239
2937,00;0,1310
2936,00;0,1385
2935,00;0,1463
2934,00;0,1545
2933,00;0,1628
2932,00;0,1713
2931,00;0,1799
2930,00;0,1883
2929,00;0,1965
