Создан как новый массив данных;Образец 006 полученный BalashovM Дата понедельник, апреля 12 2021
cm-1;A
3511,00;0,0253
3510,00;0,0253
3509,00;0,0253
3508,00;0,0254
3507,00;0,0255
3506,00;0,0255
3505,00;0,0256
3504,00;0,0256
3503,00;0,0257
3502,00;0,0257
3501,00;0,0258
3500,00;0,0258
3499,00;0,0259
3498,00;0,0260
3497,00;0,0261
3496,00;0,0262
3495,00;0,0263
3494,00;0,0263
3493,00;0,0264
3492,00;0,0265
3491,00;0,0265
3490,00;0,0266
3489,00;0,0267
3488,00;0,0268
3487,00;0,0269
3486,00;0,0269
3485,00;0,0270
3484,00;0,0271
3483,00;0,0272
3482,00;0,0272
3481,00;0,0273
3480,00;0,0274
3479,00;0,0275
3478,00;0,0276
3477,00;0,0277
3476,00;0,0277
3475,00;0,0278
3474,00;0,0279
3473,00;0,0280
3472,00;0,0281
3471,00;0,0282
3470,00;0,0283
3469,00;0,0284
3468,00;0,0285
3467,00;0,0285
3466,00;0,0286
3465,00;0,0286
3464,00;0,0287
3463,00;0,0288
3462,00;0,0288
3461,00;0,0289
3460,00;0,0290
3459,00;0,0291
3458,00;0,0291
3457,00;0,0292
3456,00;0,0293
3455,00;0,0294
3454,00;0,0294
3453,00;0,0295
3452,00;0,0296
3451,00;0,0296
3450,00;0,0297
3449,00;0,0298
3448,00;0,0299
3447,00;0,0299
3446,00;0,0300
3445,00;0,0300
3444,00;0,0300
3443,00;0,0301
3442,00;0,0301
3441,00;0,0302
3440,00;0,0302
3439,00;0,0303
3438,00;0,0303
3437,00;0,0304
3436,00;0,0305
3435,00;0,0305
3434,00;0,0305
3433,00;0,0305
3432,00;0,0306
3431,00;0,0306
3430,00;0,0306
3429,00;0,0306
3428,00;0,0306
3427,00;0,0307
3426,00;0,0307
3425,00;0,0307
3424,00;0,0307
3423,00;0,0308
3422,00;0,0308
3421,00;0,0308
3420,00;0,0308
3419,00;0,0308
3418,00;0,0308
3417,00;0,0308
3416,00;0,0308
3415,00;0,0308
3414,00;0,0308
3413,00;0,0308
3412,00;0,0308
3411,00;0,0308
3410,00;0,0308
3409,00;0,0308
3408,00;0,0308
3407,00;0,0308
3406,00;0,0308
3405,00;0,0308
3404,00;0,0308
3403,00;0,0309
3402,00;0,0309
3401,00;0,0309
3400,00;0,0309
3399,00;0,0308
3398,00;0,0308
3397,00;0,0308
3396,00;0,0308
3395,00;0,0308
3394,00;0,0308
3393,00;0,0308
3392,00;0,0308
3391,00;0,0308
3390,00;0,0308
3389,00;0,0308
3388,00;0,0308
3387,00;0,0307
3386,00;0,0307
3385,00;0,0307
3384,00;0,0307
3383,00;0,0306
3382,00;0,0306
3381,00;0,0306
3380,00;0,0306
3379,00;0,0306
3378,00;0,0306
3377,00;0,0306
3376,00;0,0305
3375,00;0,0305
3374,00;0,0305
3373,00;0,0305
3372,00;0,0305
3371,00;0,0305
3370,00;0,0305
3369,00;0,0305
3368,00;0,0304
3367,00;0,0304
3366,00;0,0304
3365,00;0,0303
3364,00;0,0303
3363,00;0,0303
3362,00;0,0303
3361,00;0,0303
3360,00;0,0303
3359,00;0,0303
3358,00;0,0303
3357,00;0,0302
3356,00;0,0302
3355,00;0,0302
3354,00;0,0302
3353,00;0,0302
3352,00;0,0302
3351,00;0,0302
3350,00;0,0302
3349,00;0,0301
3348,00;0,0301
3347,00;0,0301
3346,00;0,0300
3345,00;0,0300
3344,00;0,0300
3343,00;0,0300
3342,00;0,0300
3341,00;0,0300
3340,00;0,0300
3339,00;0,0301
3338,00;0,0301
3337,00;0,0300
3336,00;0,0300
3335,00;0,0300
3334,00;0,0300
3333,00;0,0300
3332,00;0,0301
3331,00;0,0301
3330,00;0,0301
3329,00;0,0301
3328,00;0,0301
3327,00;0,0301
3326,00;0,0301
3325,00;0,0301
3324,00;0,0301
3323,00;0,0301
3322,00;0,0302
3321,00;0,0302
3320,00;0,0302
3319,00;0,0302
3318,00;0,0303
3317,00;0,0303
3316,00;0,0303
3315,00;0,0304
3314,00;0,0304
3313,00;0,0304
3312,00;0,0305
3311,00;0,0304
3310,00;0,0304
3309,00;0,0304
3308,00;0,0305
3307,00;0,0305
3306,00;0,0305
3305,00;0,0306
3304,00;0,0306
3303,00;0,0307
3302,00;0,0308
3301,00;0,0308
3300,00;0,0309
3299,00;0,0309
3298,00;0,0309
3297,00;0,0309
3296,00;0,0309
3295,00;0,0310
3294,00;0,0310
3293,00;0,0310
3292,00;0,0311
3291,00;0,0312
3290,00;0,0313
3289,00;0,0313
3288,00;0,0314
3287,00;0,0314
3286,00;0,0315
3285,00;0,0315
3284,00;0,0316
3283,00;0,0316
3282,00;0,0316
3281,00;0,0317
3280,00;0,0317
3279,00;0,0317
3278,00;0,0318
3277,00;0,0318
3276,00;0,0318
3275,00;0,0318
3274,00;0,0318
3273,00;0,0318
3272,00;0,0318
3271,00;0,0319
3270,00;0,0320
3269,00;0,0321
3268,00;0,0322
3267,00;0,0322
3266,00;0,0323
3265,00;0,0323
3264,00;0,0324
3263,00;0,0324
3262,00;0,0325
3261,00;0,0325
3260,00;0,0325
3259,00;0,0325
3258,00;0,0325
3257,00;0,0326
3256,00;0,0326
3255,00;0,0326
3254,00;0,0327
3253,00;0,0327
3252,00;0,0328
3251,00;0,0328
3250,00;0,0328
3249,00;0,0328
3248,00;0,0328
3247,00;0,0329
3246,00;0,0329
3245,00;0,0330
3244,00;0,0331
3243,00;0,0331
3242,00;0,0332
3241,00;0,0332
3240,00;0,0333
3239,00;0,0333
3238,00;0,0333
3237,00;0,0333
3236,00;0,0333
3235,00;0,0333
3234,00;0,0333
3233,00;0,0334
3232,00;0,0335
3231,00;0,0336
3230,00;0,0337
3229,00;0,0338
3228,00;0,0338
3227,00;0,0339
3226,00;0,0339
3225,00;0,0340
3224,00;0,0340
3223,00;0,0341
3222,00;0,0341
3221,00;0,0341
3220,00;0,0342
3219,00;0,0342
3218,00;0,0343
3217,00;0,0343
3216,00;0,0344
3215,00;0,0345
3214,00;0,0345
3213,00;0,0346
3212,00;0,0347
3211,00;0,0347
3210,00;0,0348
3209,00;0,0349
3208,00;0,0349
3207,00;0,0350
3206,00;0,0350
3205,00;0,0351
3204,00;0,0352
3203,00;0,0352
3202,00;0,0353
3201,00;0,0354
3200,00;0,0354
3199,00;0,0355
3198,00;0,0356
3197,00;0,0356
3196,00;0,0357
3195,00;0,0357
3194,00;0,0358
3193,00;0,0359
3192,00;0,0359
3191,00;0,0360
3190,00;0,0361
3189,00;0,0362
3188,00;0,0363
3187,00;0,0363
3186,00;0,0364
3185,00;0,0365
3184,00;0,0365
3183,00;0,0366
3182,00;0,0366
3181,00;0,0367
3180,00;0,0368
3179,00;0,0368
3178,00;0,0369
3177,00;0,0370
3176,00;0,0371
3175,00;0,0371
3174,00;0,0372
3173,00;0,0373
3172,00;0,0373
3171,00;0,0374
3170,00;0,0375
3169,00;0,0375
3168,00;0,0376
3167,00;0,0376
3166,00;0,0377
3165,00;0,0378
3164,00;0,0378
3163,00;0,0379
3162,00;0,0380
3161,00;0,0380
3160,00;0,0381
3159,00;0,0381
3158,00;0,0382
3157,00;0,0382
3156,00;0,0382
3155,00;0,0382
3154,00;0,0381
3153,00;0,0382
3152,00;0,0382
3151,00;0,0384
3150,00;0,0385
3149,00;0,0386
3148,00;0,0387
3147,00;0,0387
3146,00;0,0388
3145,00;0,0389
3144,00;0,0389
3143,00;0,0389
3142,00;0,0389
3141,00;0,0389
3140,00;0,0389
3139,00;0,0389
3138,00;0,0390
3137,00;0,0391
3136,00;0,0392
3135,00;0,0393
3134,00;0,0393
3133,00;0,0393
3132,00;0,0394
3131,00;0,0394
3130,00;0,0394
3129,00;0,0394
3128,00;0,0395
3127,00;0,0396
3126,00;0,0396
3125,00;0,0396
3124,00;0,0396
3123,00;0,0395
3122,00;0,0394
3121,00;0,0393
3120,00;0,0392
3119,00;0,0392
3118,00;0,0392
3117,00;0,0393
3116,00;0,0394
3115,00;0,0395
3114,00;0,0396
3113,00;0,0397
3112,00;0,0397
3111,00;0,0397
3110,00;0,0397
3109,00;0,0397
3108,00;0,0397
3107,00;0,0398
3106,00;0,0398
3105,00;0,0399
3104,00;0,0398
3103,00;0,0398
3102,00;0,0397
3101,00;0,0397
3100,00;0,0397
3099,00;0,0397
3098,00;0,0398
3097,00;0,0398
3096,00;0,0398
3095,00;0,0398
3094,00;0,0397
3093,00;0,0396
3092,00;0,0396
3091,00;0,0395
3090,00;0,0394
3089,00;0,0394
3088,00;0,0394
3087,00;0,0393
3086,00;0,0393
3085,00;0,0392
3084,00;0,0392
3083,00;0,0392
3082,00;0,0391
3081,00;0,0390
3080,00;0,0390
3079,00;0,0389
3078,00;0,0389
3077,00;0,0390
3076,00;0,0391
3075,00;0,0391
3074,00;0,0391
3073,00;0,0391
3072,00;0,0390
3071,00;0,0390
3070,00;0,0389
3069,00;0,0388
3068,00;0,0387
3067,00;0,0387
3066,00;0,0386
3065,00;0,0386
3064,00;0,0386
3063,00;0,0386
3062,00;0,0386
3061,00;0,0386
3060,00;0,0385
3059,00;0,0384
3058,00;0,0384
3057,00;0,0383
3056,00;0,0382
3055,00;0,0381
3054,00;0,0381
3053,00;0,0380
3052,00;0,0380
3051,00;0,0379
3050,00;0,0379
3049,00;0,0378
3048,00;0,0378
3047,00;0,0377
3046,00;0,0377
3045,00;0,0376
3044,00;0,0375
3043,00;0,0375
3042,00;0,0374
3041,00;0,0374
3040,00;0,0374
3039,00;0,0374
3038,00;0,0373
3037,00;0,0372
3036,00;0,0372
3035,00;0,0371
3034,00;0,0370
3033,00;0,0370
3032,00;0,0370
3031,00;0,0369
3030,00;0,0369
3029,00;0,0369
3028,00;0,0368
3027,00;0,0368
3026,00;0,0367
3025,00;0,0366
3024,00;0,0366
3023,00;0,0365
3022,00;0,0365
3021,00;0,0364
3020,00;0,0364
3019,00;0,0363
3018,00;0,0362
3017,00;0,0361
3016,00;0,0360
3015,00;0,0360
3014,00;0,0359
3013,00;0,0358
3012,00;0,0358
3011,00;0,0358
3010,00;0,0358
3009,00;0,0358
3008,00;0,0357
3007,00;0,0357
3006,00;0,0356
3005,00;0,0356
3004,00;0,0355
3003,00;0,0354
3002,00;0,0353
3001,00;0,0352
3000,00;0,0351
2999,00;0,0350
2998,00;0,0350
2997,00;0,0349
2996,00;0,0349
2995,00;0,0349
2994,00;0,0348
2993,00;0,0347
2992,00;0,0347
2991,00;0,0346
2990,00;0,0346
2989,00;0,0346
2988,00;0,0346
2987,00;0,0346
2986,00;0,0346
2985,00;0,0345
2984,00;0,0345
2983,00;0,0344
2982,00;0,0344
2981,00;0,0343
2980,00;0,0343
2979,00;0,0343
2978,00;0,0343
2977,00;0,0343
2976,00;0,0342
2975,00;0,0342
2974,00;0,0342
2973,00;0,0342
2972,00;0,0342
2971,00;0,0343
2970,00;0,0343
2969,00;0,0344
2968,00;0,0344
2967,00;0,0344
2966,00;0,0345
2965,00;0,0346
2964,00;0,0346
2963,00;0,0347
2962,00;0,0347
2961,00;0,0348
2960,00;0,0349
2959,00;0,0349
2958,00;0,0350
2957,00;0,0350
2956,00;0,0350
2955,00;0,0350
2954,00;0,0350
2953,00;0,0350
2952,00;0,0349
2951,00;0,0349
2950,00;0,0348
2949,00;0,0348
2948,00;0,0347
2947,00;0,0346
2946,00;0,0345
2945,00;0,0344
2944,00;0,0343
2943,00;0,0342
2942,00;0,0341
2941,00;0,0340
2940,00;0,0339
2939,00;0,0338
2938,00;0,0336
2937,00;0,0335
2936,00;0,0333
2935,00;0,0332
2934,00;0,0331
2933,00;0,0330
2932,00;0,0328
2931,00;0,0327
2930,00;0,0326
2929,00;0,0325
2928,00;0,0324
2927,00;0,0323
2926,00;0,0323
2925,00;0,0322
2924,00;0,0322
2923,00;0,0321
2922,00;0,0321
2921,00;0,0320
2920,00;0,0320
2919,00;0,0320
2918,00;0,0320
2917,00;0,0320
2916,00;0,0321
2915,00;0,0321
2914,00;0,0322
2913,00;0,0322
2912,00;0,0323
2911,00;0,0324
2910,00;0,0325
2909,00;0,0325
2908,00;0,0326
2907,00;0,0326
2906,00;0,0327
2905,00;0,0328
2904,00;0,0328
2903,00;0,0329
2902,00;0,0330
2901,00;0,0331
2900,00;0,0331
2899,00;0,0332
2898,00;0,0334
2897,00;0,0335
2896,00;0,0336
2895,00;0,0337
2894,00;0,0338
2893,00;0,0339
2892,00;0,0341
2891,00;0,0343
2890,00;0,0345
2889,00;0,0347
2888,00;0,0350
2887,00;0,0353
2886,00;0,0357
2885,00;0,0359
2884,00;0,0361
2883,00;0,0362
2882,00;0,0363
2881,00;0,0362
2880,00;0,0360
2879,00;0,0357
2878,00;0,0355
2877,00;0,0352
2876,00;0,0350
2875,00;0,0347
2874,00;0,0345
2873,00;0,0344
2872,00;0,0342
2871,00;0,0341
2870,00;0,0341
2869,00;0,0340
2868,00;0,0340
2867,00;0,0339
2866,00;0,0339
2865,00;0,0339
2864,00;0,0339
2863,00;0,0338
2862,00;0,0338
2861,00;0,0337
2860,00;0,0336
2859,00;0,0335
2858,00;0,0332
2857,00;0,0330
2856,00;0,0327
2855,00;0,0323
2854,00;0,0319
2853,00;0,0316
2852,00;0,0313
2851,00;0,0310
2850,00;0,0307
2849,00;0,0305
2848,00;0,0303
2847,00;0,0301
2846,00;0,0299
2845,00;0,0297
2844,00;0,0295
2843,00;0,0294
2842,00;0,0292
2841,00;0,0290
2840,00;0,0289
2839,00;0,0288
2838,00;0,0287
2837,00;0,0285
2836,00;0,0284
2835,00;0,0283
2834,00;0,0282
2833,00;0,0281
2832,00;0,0281
2831,00;0,0280
2830,00;0,0279
2829,00;0,0278
2828,00;0,0277
2827,00;0,0276
2826,00;0,0275
2825,00;0,0274
2824,00;0,0274
2823,00;0,0273
2822,00;0,0272
2821,00;0,0271
2820,00;0,0270
2819,00;0,0269
2818,00;0,0269
2817,00;0,0268
2816,00;0,0267
2815,00;0,0267
2814,00;0,0266
2813,00;0,0265
2812,00;0,0264
2811,00;0,0263
2810,00;0,0263
2809,00;0,0262
2808,00;0,0262
2807,00;0,0261
2806,00;0,0261
2805,00;0,0260
2804,00;0,0260
2803,00;0,0259
2802,00;0,0259
2801,00;0,0258
2800,00;0,0257
2799,00;0,0257
2798,00;0,0256
2797,00;0,0256
2796,00;0,0255
2795,00;0,0255
2794,00;0,0255
2793,00;0,0254
2792,00;0,0254
2791,00;0,0253
2790,00;0,0253
2789,00;0,0252
2788,00;0,0252
2787,00;0,0252
2786,00;0,0252
2785,00;0,0252
2784,00;0,0252
2783,00;0,0251
2782,00;0,0251
2781,00;0,0251
2780,00;0,0251
2779,00;0,0251
2778,00;0,0250
2777,00;0,0250
2776,00;0,0250
2775,00;0,0249
2774,00;0,0249
2773,00;0,0250
2772,00;0,0250
2771,00;0,0250
2770,00;0,0250
2769,00;0,0250
2768,00;0,0249
2767,00;0,0249
2766,00;0,0249
2765,00;0,0249
2764,00;0,0249
2763,00;0,0249
2762,00;0,0249
2761,00;0,0249
2760,00;0,0249
2759,00;0,0249
2758,00;0,0248
2757,00;0,0248
2756,00;0,0248
2755,00;0,0248
2754,00;0,0248
2753,00;0,0247
2752,00;0,0247
2751,00;0,0246
2750,00;0,0245
2749,00;0,0245
2748,00;0,0245
2747,00;0,0244
2746,00;0,0244
2745,00;0,0244
2744,00;0,0243
2743,00;0,0242
2742,00;0,0242
2741,00;0,0241
2740,00;0,0241
2739,00;0,0240
2738,00;0,0240
2737,00;0,0239
2736,00;0,0239
2735,00;0,0238
2734,00;0,0238
2733,00;0,0238
2732,00;0,0237
2731,00;0,0237
2730,00;0,0236
2729,00;0,0235
2728,00;0,0234
2727,00;0,0234
2726,00;0,0233
