Создан как новый массив данных;Образец 001 полученный BalashovM Дата вторник, ноября 16 2021
cm-1;A
3484,00;0,0440
3483,00;0,0440
3482,00;0,0440
3481,00;0,0440
3480,00;0,0441
3479,00;0,0441
3478,00;0,0441
3477,00;0,0441
3476,00;0,0441
3475,00;0,0441
3474,00;0,0441
3473,00;0,0441
3472,00;0,0441
3471,00;0,0441
3470,00;0,0441
3469,00;0,0441
3468,00;0,0441
3467,00;0,0441
3466,00;0,0441
3465,00;0,0441
3464,00;0,0441
3463,00;0,0441
3462,00;0,0441
3461,00;0,0442
3460,00;0,0442
3459,00;0,0442
3458,00;0,0442
3457,00;0,0442
3456,00;0,0442
3455,00;0,0442
3454,00;0,0442
3453,00;0,0442
3452,00;0,0442
3451,00;0,0442
3450,00;0,0442
3449,00;0,0442
3448,00;0,0442
3447,00;0,0442
3446,00;0,0442
3445,00;0,0443
3444,00;0,0443
3443,00;0,0443
3442,00;0,0443
3441,00;0,0443
3440,00;0,0443
3439,00;0,0443
3438,00;0,0443
3437,00;0,0443
3436,00;0,0443
3435,00;0,0443
3434,00;0,0443
3433,00;0,0443
3432,00;0,0444
3431,00;0,0444
3430,00;0,0444
3429,00;0,0444
3428,00;0,0444
3427,00;0,0444
3426,00;0,0444
3425,00;0,0444
3424,00;0,0444
3423,00;0,0445
3422,00;0,0445
3421,00;0,0445
3420,00;0,0445
3419,00;0,0445
3418,00;0,0445
3417,00;0,0445
3416,00;0,0445
3415,00;0,0445
3414,00;0,0446
3413,00;0,0446
3412,00;0,0446
3411,00;0,0446
3410,00;0,0446
3409,00;0,0446
3408,00;0,0446
3407,00;0,0446
3406,00;0,0446
3405,00;0,0446
3404,00;0,0446
3403,00;0,0446
3402,00;0,0446
3401,00;0,0446
3400,00;0,0446
3399,00;0,0447
3398,00;0,0447
3397,00;0,0447
3396,00;0,0447
3395,00;0,0447
3394,00;0,0447
3393,00;0,0447
3392,00;0,0447
3391,00;0,0447
3390,00;0,0447
3389,00;0,0447
3388,00;0,0447
3387,00;0,0447
3386,00;0,0447
3385,00;0,0447
3384,00;0,0447
3383,00;0,0447
3382,00;0,0448
3381,00;0,0448
3380,00;0,0448
3379,00;0,0448
3378,00;0,0448
3377,00;0,0448
3376,00;0,0448
3375,00;0,0448
3374,00;0,0448
3373,00;0,0448
3372,00;0,0448
3371,00;0,0448
3370,00;0,0448
3369,00;0,0448
3368,00;0,0448
3367,00;0,0448
3366,00;0,0449
3365,00;0,0449
3364,00;0,0449
3363,00;0,0449
3362,00;0,0449
3361,00;0,0449
3360,00;0,0449
3359,00;0,0449
3358,00;0,0449
3357,00;0,0449
3356,00;0,0449
3355,00;0,0449
3354,00;0,0449
3353,00;0,0449
3352,00;0,0449
3351,00;0,0449
3350,00;0,0449
3349,00;0,0450
3348,00;0,0450
3347,00;0,0450
3346,00;0,0450
3345,00;0,0450
3344,00;0,0450
3343,00;0,0450
3342,00;0,0450
3341,00;0,0450
3340,00;0,0450
3339,00;0,0450
3338,00;0,0450
3337,00;0,0450
3336,00;0,0450
3335,00;0,0450
3334,00;0,0450
3333,00;0,0450
